Zipcode,MedianIncome,ErrorMargin
6390,46250,6648
10001,101409,11816
10002,37093,3148
10003,137533,10077
10004,216017,10041
10005,197188,17558
10006,200536,24685
10007,"250,000",0
10009,77551,8516
10010,131635,18605
10011,139343,14488
10012,117581,10760
10013,137572,21050
10014,136559,13983
10016,136431,12756
10017,136112,8861
10018,130457,24262
10019,105538,13099
10021,136060,15170
10022,156255,13538
10023,136109,11196
10024,153177,17247
10025,103440,6815
10026,65038,6857
10027,58435,5213
10028,149789,11622
10029,33901,4162
10030,42834,6415
10031,57180,4302
10032,55059,4503
10033,71630,4146
10034,63851,3370
10035,32555,5945
10036,98177,10754
10037,48782,8464
10038,99924,21419
10039,50164,5284
10040,54700,5905
10044,115294,12874
10065,152335,14050
10069,183178,93892
10075,131372,28807
10128,127919,10591
10162,99300,16969
10280,178148,35936
10282,"250,000+",***
10301,78053,5038
10302,73927,11834
10303,69879,5480
10304,64539,5750
10305,76833,5721
10306,88687,4533
10307,117469,12054
10308,116082,9754
10309,107500,14840
10310,96161,13046
10312,100875,5703
10314,94578,5196
10451,33945,4114
10452,33877,2678
10453,34860,3026
10454,21846,2122
10455,30741,1669
10456,31166,2602
10457,38066,4209
10458,38768,2835
10459,36631,3449
10460,31504,3005
10461,61087,4930
10462,59032,2837
10463,63048,4556
10464,118972,20071
10465,80245,5577
10466,62918,5284
10467,42639,2072
10468,40138,2946
10469,70415,3997
10470,70107,6746
10471,96368,11817
10472,36730,2484
10473,48212,4600
10474,33157,11107
10475,56327,8323
10501,237361,91462
10502,226848,28953
10503,86964,38318
10504,229671,21280
10505,150179,49821
10506,220469,90651
10507,83359,9116
10509,111376,7480
10510,190368,22853
10511,118984,10574
10512,101924,11228
10514,246991,31550
10516,119980,12203
10517,78750,38095
10520,120769,11450
10522,136204,24684
10523,110420,7575
10524,123426,23252
10526,202823,93020
10527,207917,49011
10528,134458,8583
10530,104090,13616
10532,121489,19099
10533,204118,43707
10535,146635,77252
10536,198919,28382
10537,103854,54418
10538,203932,39242
10541,120397,8015
10543,119900,12739
10546,174107,51765
10547,123229,35699
10548,111052,23715
10549,110813,15342
10550,48472,6268
10552,86470,5583
10553,80400,5767
10560,159957,34773
10562,97083,11118
10566,75642,6763
10567,143465,7261
10570,165439,25426
10573,98626,6049
10576,215119,30613
10577,"250,000+",***
10578,"250,000+",***
10579,122193,13967
10580,211696,13648
10583,218498,11426
10588,119620,48363
10589,106500,16913
10590,160278,36541
10591,100993,11155
10594,167857,48409
10595,99500,30371
10596,83512,21941
10597,"250,000+",***
10598,140337,6758
10601,75592,13753
10603,118063,10180
10604,101619,22579
10605,131463,5751
10606,101853,13860
10607,142344,15770
10701,55553,1858
10703,78473,11113
10704,88341,8160
10705,61078,8494
10706,171615,29298
10707,119530,12975
10708,113298,15325
10709,142536,15191
10710,89043,9207
10801,73632,1937
10803,184821,19913
10804,213892,26491
10805,75336,10174
10901,102470,8179
10913,171146,20870
10914,83469,4395
10916,99792,21321
10917,117917,28719
10918,120288,19797
10919,94355,15456
10920,132241,16316
10921,99722,16536
10922,88750,40831
10923,91310,14544
10924,98462,15451
10925,95625,26828
10926,81726,17604
10927,69679,7930
10928,83571,23099
10930,130577,18467
10931,79091,7725
10940,70407,5715
10941,89118,8314
10950,77362,7915
10952,61272,8663
10954,109932,10896
10956,156555,9221
10958,122591,6986
