zip_code,FELONY,MISDEMEANOR,VIOLATION
83,612,934,302
10001,10283,16171,2881
10002,8991,17251,4203
10003,7178,12129,1990
10004,656,1490,335
10005,531,1500,261
10006,462,1583,187
10007,1554,5483,644
10009,4795,7998,2237
10010,3190,4921,1138
10011,7753,11386,2242
10012,4893,6795,926
10013,4955,8181,1545
10014,5176,6572,1334
10016,4911,7448,1911
10017,2614,5115,1087
10018,6454,8464,1494
10019,7040,10734,3096
10020,926,811,88
10021,2169,3519,655
10022,4652,5822,1253
10023,3927,8490,1718
10024,3277,5463,1260
10025,6127,12066,3088
10026,3733,6319,1754
10027,9147,16677,4579
10028,2816,5054,821
10029,8989,16345,5539
10030,3336,5896,1975
10031,5064,10092,3067
10032,4904,8872,2561
10033,4899,8482,2043
10034,3780,5209,1561
10035,7581,14927,2969
10036,7057,11239,2661
10037,1950,3034,1012
10038,1519,3793,1121
10039,2398,4396,1769
10040,2559,3736,1221
10044,170,248,116
10048,83,280,22
10065,3090,4088,917
10069,151,121,55
10075,1164,2257,401
10111,70,56,11
10115,2,12,2
10128,2927,4483,1140
10280,221,340,141
10281,98,185,31
10282,204,294,70
10301,3648,7624,2999
10302,1462,3205,1151
10303,2252,4594,1804
10304,3367,6455,2878
10305,1958,4006,1846
10306,2306,5154,2279
10307,678,1537,469
10308,766,1409,819
10309,1115,2261,881
10310,1794,3431,1457
10312,1450,2839,1254
10314,3723,8850,3294
10451,8683,14900,4550
10452,8631,15995,4551
10453,6907,12377,4814
10454,6349,10685,3263
10455,7193,12297,3674
10456,10380,17110,6731
10457,10195,17954,5893
10458,8717,14920,4186
10459,6887,11912,4046
10460,7177,12364,4242
10461,4357,7747,2624
10462,5578,9030,3028
10463,5170,11242,2836
10464,280,482,214
10465,3015,6081,2197
10466,6496,11266,4287
10467,10256,17424,5562
10468,7728,12132,3284
10469,4703,8301,2858
10470,1512,2447,786
10471,1350,1799,564
10472,7129,10131,3764
10473,5887,10085,3749
10474,2199,3651,1154
10475,2461,4488,1486
11001,116,173,59
11004,439,615,253
11005,60,63,45
11040,193,262,129
11096,16,21,7
11101,6023,9759,3427
11102,2225,3453,1320
11103,3267,6332,1419
11104,1130,2005,847
11105,1731,3112,1083
11106,2516,4798,1574
11109,32,47,23
11201,8241,14624,3857
11203,7415,10214,4475
11204,2557,4869,1592
11205,3926,6519,2173
11206,10321,16686,5352
11207,14088,17544,6677
11208,12008,15377,5263
11209,3390,7359,1871
11210,4498,7125,2208
11211,8129,10701,3129
11212,12131,16236,7264
11213,7022,10632,4021
11214,4219,8120,2493
11215,3714,5901,1750
11216,6820,9320,3235
11217,4719,8645,2391
11218,2803,4330,1390
11219,3547,5492,1379
11220,7084,10130,2413
11221,9291,12944,4695
11222,3536,4938,1673
11223,4282,7031,1942
11224,5359,8812,2819
11225,4579,7680,2697
11226,9695,14147,4933
11228,1708,2699,843
11229,4141,6429,1693
11230,3443,5521,1620
11231,3064,4551,1109
11232,2966,4762,1110
11233,9165,13371,5500
11234,5551,8786,2903
11235,4749,7226,1987
11236,7148,11138,4558
11237,5465,7130,2103
11238,3790,5887,1852
11239,1786,3777,560
11251,104,161,34
11354,5459,9944,2432
11355,4105,4926,1788
11356,1554,2920,1028
11357,1587,1940,829
11358,1681,1787,725
11359,3,3,1
11360,614,638,332
11361,1739,2122,752
11362,736,765,303
11363,264,305,138
11364,1601,1431,645
11365,2369,3684,1032
11366,609,847,288
11367,2147,3536,1346
11368,7152,10401,3314
11369,3675,7056,1754
11370,2563,3564,834
11371,30,79,4
11372,4808,8043,2222
11373,6586,12244,2757
11374,1560,3710,919
11375,2691,6747,1430
11377,4741,7506,2685
11378,2285,3230,1115
11379,1472,2357,803
11385,6596,11146,3311
11411,1164,1655,626
11412,2727,3683,1414
11413,3201,3906,1795
11414,1635,1891,765
11415,657,1184,433
11416,1331,2504,990
11417,2838,4172,1236
11418,2509,4743,1565
11419,3567,5027,2000
11420,3699,5303,1883
11421,1671,3324,1085
11422,1828,2479,1309
11423,1969,2658,942
11426,898,1253,577
11427,1074,1654,643
11428,1505,2310,807
11429,1969,2696,1108
11430,52,92,18
11432,5991,9091,2272
11433,4530,7379,1942
11434,7012,11046,3279
11435,4707,6241,1831
11436,1687,2321,1014
11691,6250,9127,4297
11692,1883,2692,1202
11693,1620,2611,901
11694,1033,1978,780
11697,102,81,34
