streetAddress,zipcode,livingArea,Price,zpid,walk_score,transit_score,felony_count,misdemeanor_count,violation_count,population_per_1000,median_income,
38 Joval Ct,11229,684,147000,30793861,70,59,4141,6429,1693,85.538,69076,
605 Clarence Ave,10465,810,295000,29846452,57,51,3015,6081,2197,46.205,80245,
4932 Utopia Pkwy,11365,836,526000,32050930,61,71,2369,3684,1032,45.439,73279,
6921 Hessler Ave,11692,896,170000,32225105,75,73,1883,2692,1202,24.639,53498,
10506 177th St,11433,962,205820,32140405,72,100,4530,7379,1942,41.396,68801,
336 E 7th St #336C,11218,963,435000,115876945,91,96,2803,4330,1390,76.37,81857,
11407 149th Ave,11420,970,689000,32178012,47,81,3699,5303,1883,51.831,89027,
21811 139th Ave,11413,1020,432000,32202293,48,66,3201,3906,1795,45.661,104236,
6150 148th Pl,11367,1056,215000,32065442,62,72,2147,3536,1346,42.362,71469,
10804 Union Hall St,11433,1080,255000,32138542,83,100,4530,7379,1942,41.396,68801,
11524 168th St,11434,1082,508800,32189113,73,76,7012,11046,3279,66.424,66546,
25306 148th Ave,11422,1088,350000,32211884,52,53,1828,2479,1309,34.063,95945,
7727 88th St,11385,1120,545000,32019347,75,68,6596,11146,3311,109.111,77350,
1111 Harding Park,10473,1120,265000,29790538,40,60,5887,10085,3749,60.296,48212,
11669 233rd St,11411,1144,403000,32166500,79,52,1164,1655,626,21.605,108131,
1036 E 226th St,10466,1200,282754,29833450,82,81,6496,11266,4287,75.767,62918,
20215 100th Ave,11423,1200,366000,32153874,75,78,1969,2658,942,30.983,69386,
271 Pleasant Ave,10029,1200,1085000,31546887,91,97,8989,16345,5539,77.661,33901,
994 Washington Ave,10456,1206,375000,29777560,89,100,10380,17110,6731,90.314,31166,
14419 224th St,11413,1250,949000,219889341,69,62,3201,3906,1795,45.661,104236,
7939 264th St,11004,1285,530000,32102227,75,61,439,615,253,16.426,100174,
4234 Wickham Ave,10466,1292,390000,29837253,81,86,6496,11266,4287,75.767,62918,
457 Sheffield Ave,11207,1296,418000,55677106,86,100,14088,17544,6677,97.69,45616,
10213 216th St,11429,1305,420000,32160778,86,81,1969,2696,1108,28.643,89318,
3092 Harding Ave,10465,1332,499999,29847130,55,48,3015,6081,2197,46.205,80245,
22601 141st Ave,11413,1360,154000,32204378,58,60,3201,3906,1795,45.661,104236,
537 E 42nd St,11203,1363,600270,30661935,71,85,7415,10214,4475,79.499,61414,
12023 Riviera Ct,11356,1365,195000,32020675,33,49,1554,2920,1028,27.295,73318,
8532 98th St,11421,1392,389000,300303332,38,77,1671,3324,1085,42.704,76721,
9326 204th St,11423,1404,404000,32144964,78,79,1969,2658,942,30.983,69386,
507 Van Nest Ave,10460,1440,355000,29812421,78,100,7177,12364,4242,59.979,31504,
20711 Hollis Ave,11429,1449,225000,32155561,62,70,1969,2696,1108,28.643,89318,
13730 Francis Lewis Blvd,11413,1472,375000,32204924,82,60,3201,3906,1795,45.661,104236,
4153 Laconia Ave,10466,1496,272500,29833734,86,75,6496,11266,4287,75.767,62918,
11038 175th St,11433,1500,649000,32141386,72,76,4530,7379,1942,41.396,68801,
5763 256th St,11362,1500,185000,32097480,79,57,736,765,303,19.217,100528,
6117 164th St,11365,1522,377000,32073609,75,71,2369,3684,1032,45.439,73279,
2901 Dewitt Pl,10469,1536,340000,29824488,68,81,4703,8301,2858,75.29,70415,
13033 217th St,11413,1580,545000,32199195,51,66,3201,3906,1795,45.661,104236,
2313 27th St,11105,1584,665000,31946523,98,82,1731,3112,1083,38.311,93200,
13939 250th St,11422,1600,695000,32211151,81,64,1828,2479,1309,34.063,95945,
17615 110th Ave,11433,1624,635000,32141154,68,73,4530,7379,1942,41.396,68801,
10915 208th St,11429,1634,667000,32155592,75,70,1969,2696,1108,28.643,89318,
2565 Seymour Ave,10469,1665,450000,29821872,76,79,4703,8301,2858,75.29,70415,
22511 Murdock Ave,11429,1683,300000,32163731,51,65,1969,2696,1108,28.643,89318,
22530 Murdock Ave,11429,1683,404000,32164235,46,63,1969,2696,1108,28.643,89318,
16856 118th Rd,11434,1720,550000,32189909,71,74,7012,11046,3279,66.424,66546,
9118 184th St,11423,1726,389500,32134533,86,100,1969,2658,942,30.983,69386,
260 Clawson St,10306,1736,260000,32331031,91,72,2306,5154,2279,55.805,88687,
1054 E 105th St,11236,1760,770000,30775647,51,85,7148,11138,4558,102.238,73562,
2878 Dill Pl,10465,1760,247500,29848052,91,59,3015,6081,2197,46.205,80245,
1021 Church Ave,11218,1788,474000,30665816,94,100,2803,4330,1390,76.37,81857,
1345 E 46th St,11234,1800,295000,30759927,82,86,5551,8786,2903,94.254,86185,
3324 Gunther Ave,10469,1800,435000,29830187,78,81,4703,8301,2858,75.29,70415,
7534 198th St,11366,1848,700000,32080052,15,66,609,847,288,13.922,100781,
607 119th St,11356,1924,775000,32021057,64,55,1554,2920,1028,27.295,73318,
45 Arden Ave,10312,1940,520000,58578614,55,46,1450,2839,1254,63.935,100875,
1269 E 85th St,11236,1956,549900,30771231,44,68,7148,11138,4558,102.238,73562,
284 Graff Ave,10465,1998,445612,29849551,39,48,3015,6081,2197,46.205,80245,
689 Montgomery St,11213,2000,237000,30594588,92,100,7022,10632,4021,69.392,48896,
417 Newport St,11207,2080,330000,30635801,79,100,14088,17544,6677,97.69,45616,
8717 108th St,11418,2108,485000,32118624,89,83,2509,4743,1565,38.938,77708,
108 Bodine St,10310,2115,688000,32276115,84,67,1794,3431,1457,25.976,96161,
1416 Mcbride St,11691,2116,440000,32221303,70,73,6250,9127,4297,70.797,54877,
3931 48th St,11104,2128,1625000,31934238,93,100,1130,2005,847,27.575,81142,
27 E 10th St,11218,2144,450000,30665837,95,99,2803,4330,1390,76.37,81857,
178 Sheridan Ave,11208,2160,255000,30644760,89,90,12008,15377,5263,107.724,49679,
11123 112th St,11420,2168,240000,32171957,74,76,3699,5303,1883,51.831,89027,
14948 256th St,11422,2181,585000,32212591,39,49,1828,2479,1309,34.063,95945,
10442 88th Ave,11418,2200,560000,32118313,89,81,2509,4743,1565,38.938,77708,
8741 Kingston Pl,11432,2200,666953,64555959,83,100,5991,9091,2272,64.858,66246,
877 Cranford Ave,10466,2200,550000,29840498,76,84,6496,11266,4287,75.767,62918,
44 Sharon St,11211,2225,605000,30624154,93,87,8129,10701,3129,65.925,89091,
7501 Aquatic Dr,11692,2238,647000,68316618,81,76,1883,2692,1202,24.639,53498,
5814 134th St,11355,2272,238000,32063723,78,76,4105,4926,1788,80.918,46963,
453 Leland Ave,10473,2301,427450,29791297,77,64,5887,10085,3749,60.296,48212,
8639 110th St,11418,2301,751190,32116752,90,79,2509,4743,1565,38.938,77708,
8751 108th St,11418,2336,270500,32118615,84,84,2509,4743,1565,38.938,77708,
322 56th St,11220,2352,868000,30578733,87,96,7084,10130,2413,93.584,57046,
106 Soundview Ave,10473,2421,329000,64490758,40,54,5887,10085,3749,60.296,48212,
1751 Garfield St,10460,2432,565000,29812532,83,95,7177,12364,4242,59.979,31504,
1021 E 217th St,10469,2448,639999,83179089,75,84,4703,8301,2858,75.29,70415,
153-35 78th St,11414,2496,257000,32168906,65,65,1635,1891,765,30.915,86113,
12939 157th St,11434,2500,620000,32187853,73,67,7012,11046,3279,66.424,66546,
10506 Avenue J,11236,2508,467000,30775658,72,89,7148,11138,4558,102.238,73562,
